Year	Vibrosi	SO2	NO	CO2	Forg	Ammiak	Othodi	Stoki	Sulfati	Chloridi	Azot	Nitrati	Zhiri	Fenol	Plumbum	Mercury	GDP	People	InvVozd	InvVoda	InvZeml	InvOkr	TekVostVozd	TekVostVoda	TekVostOthodi	TekVostZeml	TekVostOkr	VsegoVost	S	Voda	Toplivo	Oil	Gas	Coal	PerTopl	GorRes	Eenergy	 	dOil	dGas	dCoal	Zhelezo	pToplivo	pOil	pGas	pCoal	pPerTopl	pGorRes	pEenergy	pTE	pKPT
2000	32301	5521	3221	15360	2311	44	1603	55,6	2,7	7,3	41,3	208,5	15,2	66,6	34,9	0,2	7305,6	146,6	7946	8251	3520	22339	17458	40263	7767	1767	67255	89594	1709,8	4250	1444,1	495,8	758,7	184,6	34,3	210,9	194,9	1049,6	324	584	258,4	268,9	898,4	204	526,3	162,8	174,3	32,3	231,1	243,1	791,8
2001	33291	5374	3280	16038	2666	45	1834	54,7	2,6	7,7	42,7	201,3	13,8	53,1	26,7	0,2	8943,6	146,3	9682	10163	4337	27710	16246	47563	10449	2574	76832	104542	1709,8	4250	1471,3	521,1	755,9	189,3	34,1	227,5	198,9	1060	348	581	269,3	278,4	900,5	215,6	521,1	158,4	179,6	32,8	243,2	230,5	776
2002	33930	5108	3296	16923	2757	45	2038	54,7	3,1	8,1	43,2	237,2	14,9	53,6	25	0,2	10830,5	145,2	6750	10928	4660	25270	18338	55861	12032	3134	89365	114635	1709,8	4250	1400	557,8	676,7	160,8	33,9	241,9	194,1	968,5	380	595	235,4	329,3	895,4	242	498,5	149,6	205,2	33,2	257,1	204	730,8
2003	34652	5084	3377	17229	2997	43	2613,5	52,3	2,4	7,5	41,6	274,4	13	47,7	23,5	0,2	13208,2	145	10889	14915	6415	35407	26469	67166	13827	3243	110705	146112	1709,8	4250	1524	607,1	727,3	184,3	33,4	281,9	207,7	1049,1	421	620	276,4	322,5	927,5	265	512	145	196,6	32,6	286,1	219,9	730,7
2004	35751	4895	3389	18413	3137	44	2644,3	51,3	2,4	6,8	34,6	288,2	9,1	46,2	16,8	0,1	17027,2	144,3	15521	15748	5563	41168	29666	77046	16726	3122	126560	167728	1709,8	4250	1568,4	657,6	718,9	186,6	32,6	317,5	211,5	1052,4	459	634	284,4	345,3	951,8	295,3	510,4	140,4	209,6	32,8	313,3	207,5	695,4
2005	35835	4797	3527	18181	3370	44	3035,5	50,9	2,2	6,7	34,5	374,7	8,1	42,9	14,8	0,1	21609,8	143,8	19839	26143	9206	58738	33751	84895	19954	4055	142655	201393	1709,8	4250	1610,5	672,4	739,5	193,1	32,5	328,3	212,7	1053,3	470	641	299,8	345,6	948,3	308,6	499,5	134,6	209,3	32,5	324,1	212,7	692,2
2006	35510	4904	3678	17438	3461	56	3519,4	51,4	2,1	6,3	40,6	379,5	7,2	39,9	15,7	0,1	26917,2	143,2	21316	30241	11027	68188	40593	93023	24049	5275	162940	231128	1709,8	4250	1650,8	687,1	757,3	200,9	24,7	343	219,4	1078,7	481	656	310	366,1	981,5	325,4	512,5	138,1	211,6	24,7	337,6	219,4	705
2007	35532	4709	3764	17485	3463	56	3899,3	51,4	2,2	6,7	36,8	391,7	5,7	32,6	12,7	0,1	33247,5	142,8	21642	32823	15749	76884	41854	104814	25073	5557	177298	254182	1709,8	4250	1664	702	751,8	204,3	23,5	349,8	209,7	1050,8	491	665	314,1	381,5	994,8	332,5	523	133,5	218	23,5	345,4	209,7	697,5
2008	33952	4675	3809	16299	2889	62	3876,9	52,1	2	6,5	36,5	396,4	5,8	30,7	13,9	0,03	41267,8	142,8	27542	45696	17749	102388	43393	103490	30507	6515	183905	286293	1709,8	4250	1681,3	697,9	766,2	212,3	23,1	358,4	202,4	1081,1	488,6	582	329	393,2	1017,6	346,1	523,2	143,4	225,2	23,1	352,3	202,2	706,5
2009	32754	4512	3670	15632	2925	63	3505	47,7	1,8	2,9	27,4	409,2	4,9	25,8	11	0,02	38807,2	142,7	23242	39219	11045	81914	32911	112840	30531	7373	183655	265569	1709,8	4250	1587,3	706,8	673,8	202,1	23,7	341,7	202,7	990,4	494,3	583,1	302,6	396,9	985,4	349	500,6	131,3	209,8	23,7	336,6	202,7	663,4
2010	32353	4512	3735	15363	2895	70	3734,7	49,2	1,9	5,7	36,5	366,4	4,1	28	9	0,02	46308,5	142,9	26127	46025	9340	89094	43351	110122	32904	7086	193463	282557	1709,8	4250	1670,2	720,9	749,3	195,5	27,2	357,6	203,5	1069,4	505,2	650,7	323,4	424,8	1043,1	365,9	543,7	128,9	218,8	27,1	351,6	203,5	704,7
2011	32628	4462	3649	15840	2977	70	4303,3	48,1	1,9	5,4	34,2	409,9	3,4	24,5	6,4	0,01	60114	142,9	27882	46610	13785	95662	51094	124447	38128	8929	222599	318261	1709,8	4250	1710,2	731,1	773,3	201	27,2	363,4	198,2	1080,4	511,4	670,7	336,7	415,8	1080,3	378,8	562,6	133,8	226	27,2	358,7	198,2	722,1
2012	32469	4431	3452	16119	2563	81	5007,9	45,5	2	5,6	32	434,2	2,9	22,4	6,2	0,01	68103,4	143	34626	52420	19888	116543	47062	121332	45798	13701	239170	355713	1709,8	4250	1741,9	741,8	755,5	240	13,6	368,4	190,9	1103,8	518	654,5	354,6	422,1	1097	397,6	554,6	140,2	225,4	13,6	366,3	190,9	715,9
2013	32063	4306	3423	15782	2834	82	5152,8	42,9	1,8	5,7	35,9	437,9	2,8	20,2	8,7	0,01	72985,7	143,3	41196	59505	13802	123807	44800	132818	50402	15337	254377	378184	1709,8	4250	1767,7	746	770,4	246,8	13,2	364,9	184,7	1102,3	523,3	667,8	352,1	437,9	1078,7	405,5	540	128,8	228,6	13,2	366,4	184,7	708,5
2014	31228	4131	3379	15517	2741	87	5168,3	43,9	1,8	5,4	27,7	424,6	2,2	17,7	7,6	0,01	79030	143,7	55587	76315	14540	158636	50920	136468	55702	15266	269838	428474	1709,8	4250	1750,5	752,4	741,8	251,9	13,7	366,6	188,9	1110,6	526,8	642	358,2	454,1	1098,8	427,5	542,2	124,7	242,5	13,7	366,9	188,9	674,1
2015	31269	4197	3381	15530	2716	94	5060,2	42,9	1,9	5,6	25,5	421,2	2,1	16,1	5,7	0,01	83087,4	146,3	40120	78962	15703	151788	58250	145147	60256	16660	292074	443862	1712,5	4441	1764,5	763,2	731,1	265,9	14,9	367,8	177,7	1212,7	534,1	635,5	373,4	442,6	1071	413,6	521,8	131,3	252,1	14,9	365,3	177,7	662,5
2016	31617	4110	3460	15862	2756	96	5441,3	42,9	2	5,7	35,6	423,8	2,1	18,2	5,1	0,01	85616,1	146,5	40340	67469	12228	139677	56851	154313	63580	19526	306534	446211	1712,5	4441	1803,8	783,3	739,5	276,7	15,2	375,8	183,4	1213,6	547,5	640,2	385,7	425,3	1069,2	418,6	519,1	127,1	249,5	15,2	371,5	183,4	665,6
2017	32068	3794	3535	16169	2742	101	6220,6	42,6	2,2	5,8	28,5	404,8	1,7	14,3	6,2	0	91943,2	146,8	60199	66496	10216	154042	56906	163261	70041	15452	320947	474989	1712,5	4441	1877,2	781,1	798,1	293,7	17,2	377	181,7	1271	546,8	691,1	411,2	415,7	1087,7	420,2	543,5	119,6	248,7	17,2	375,2	181,7	692,8
2018	32327	3703	3518	16596	2891	97	7266,1	40,1	1,7	6,3	31,5	387,9	2	21,2	4,2	0,01	104629,6	146,9	65475	62750	10011	157651	61075	173688	79885	15347	345464	503115	1712,5	4441	1951,2	794,4	837,8	314,4	16,7	384,1	187,1	1323	555,8	725,4	439,3	423,2	1139,5	421,5	590,2	123,4	238,3	16,6	381,8	187,1	725
2019	22735	3714	2877	8607	1715	117	7750,9	37,7	1,7	6,7	31,5	368	1,8	15,1	5	0,01	110046,1	144,4	70250	71805	12158	175029	63760	174921	102396	16348	374411	549440	1712,5	4441	1974	802,3	853,3	314,4	18,2	386,4	181,6	1336,9	561	739	439	423	1138,9	416,4	597,3	121,2	241,3	18,1	382,4	181,6	710
2020	22228	3631	2864	8481	1688	105	6955,7	34,2	1,7	6,4	31,5	366,4	1,6	17,1	5,3	0,01	106967,5	144,1	69560	91275	15303	195962	63971	181471	113524	16354	393691	589653	1712,5	4441	1821	734	801	286	18,2	386,4	181,6	1336,9	513	694	398	423	1138,9	416,4	597,3	121,2	241,3	18,1	382,4	181,6	710
